epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,5156.67,0.48252,0.29101,0.86109,0.99721,0.99513,0.99495,0.93641,0.48161,0.25876,0.80267,0.00303644,0.00303644,0.00303644
85,5206.76,0.4831,0.29103,0.8629,0.99693,0.9955,0.9949,0.93513,0.48069,0.25813,0.80365,0.00295254,0.00295254,0.00295254
86,5256.68,0.48411,0.29155,0.86107,0.99741,0.99485,0.99496,0.93317,0.48328,0.25649,0.80493,0.00286864,0.00286864,0.00286864
87,5308.36,0.47654,0.28812,0.86132,0.99706,0.99541,0.99493,0.9346,0.48277,0.25419,0.8042,0.00278475,0.00278475,0.00278475
88,5359.54,0.47118,0.28398,0.8592,0.99743,0.99499,0.99495,0.93496,0.4845,0.25253,0.80614,0.00270085,0.00270085,0.00270085
89,5410.2,0.47625,0.28417,0.86011,0.99736,0.99513,0.99494,0.93604,0.48188,0.25081,0.80604,0.00267899,0.00267899,0.00267899
90,5460.09,0.47036,0.28345,0.86136,0.99754,0.99537,0.99494,0.93788,0.47908,0.25028,0.80551,0.0025958,0.0025958,0.0025958
91,5508.35,0.46787,0.28109,0.85818,0.99743,0.99594,0.99494,0.937,0.47652,0.24807,0.80543,0.00251261,0.00251261,0.00251261
92,5557.51,0.46174,0.27763,0.86023,0.99719,0.99478,0.99497,0.93563,0.47555,0.24744,0.80573,0.00242941,0.00242941,0.00242941
93,5607.16,0.45743,0.27634,0.85896,0.99745,0.99474,0.99494,0.93542,0.47405,0.24747,0.80497,0.00241,0.00241,0.00241
94,5657.24,0.46586,0.2768,0.85985,0.99764,0.99558,0.99496,0.93762,0.47276,0.2465,0.80433,0.0023275,0.0023275,0.0023275
95,5709.07,0.45865,0.27774,0.85407,0.99755,0.9961,0.99496,0.9369,0.47089,0.24573,0.80397,0.002245,0.002245,0.002245
96,5763.66,0.45595,0.27243,0.85858,0.99765,0.99623,0.99496,0.93714,0.46753,0.24367,0.80325,0.0021625,0.0021625,0.0021625
97,5814.04,0.45413,0.27325,0.85656,0.99846,0.99624,0.99496,0.93847,0.4666,0.2427,0.80272,0.00208,0.00208,0.00208
98,5864.33,0.45285,0.27029,0.85451,0.99886,0.99624,0.99497,0.93846,0.46416,0.24276,0.80085,0.00206364,0.00206364,0.00206364
99,5914.38,0.44886,0.27175,0.85582,0.99854,0.99574,0.99497,0.93953,0.46165,0.24328,0.79821,0.00198182,0.00198182,0.00198182
100,5963.04,0.45103,0.27155,0.85406,0.99815,0.99581,0.99497,0.94295,0.46009,0.24406,0.79553,0.0019,0.0019,0.0019
101,6012.18,0.44318,0.26685,0.8535,0.99807,0.99576,0.99497,0.94259,0.45952,0.24366,0.79505,0.00181818,0.00181818,0.00181818
102,6064.45,0.43524,0.26425,0.85238,0.99821,0.99638,0.99498,0.94094,0.45772,0.2424,0.79445,0.00173636,0.00173636,0.00173636
103,6114.42,0.43785,0.26565,0.85287,0.99894,0.99662,0.99498,0.93821,0.46265,0.24036,0.79958,0.00172295,0.00172295,0.00172295
104,6165.73,0.4384,0.26279,0.85449,0.99909,0.9961,0.99498,0.93616,0.4636,0.23952,0.80058,0.0016418,0.0016418,0.0016418
105,6216.93,0.43292,0.26125,0.85113,0.99862,0.9957,0.99498,0.93592,0.46307,0.23786,0.80077,0.00156066,0.00156066,0.00156066
106,6267.06,0.43136,0.25889,0.8514,0.99858,0.99589,0.99498,0.93765,0.46201,0.23752,0.80019,0.00147951,0.00147951,0.00147951
107,6317.45,0.42643,0.25671,0.84776,0.99859,0.99607,0.99497,0.93713,0.46278,0.23757,0.80027,0.00139836,0.00139836,0.00139836
108,6368.27,0.42549,0.25428,0.84958,0.99938,0.99623,0.99497,0.93818,0.46064,0.23708,0.79864,0.00131721,0.00131721,0.00131721
109,6418.81,0.42816,0.25653,0.84997,0.99934,0.99624,0.99497,0.93913,0.45782,0.23741,0.79669,0.00130732,0.00130732,0.00130732
110,6467.95,0.42977,0.25486,0.84998,0.99909,0.99624,0.99497,0.94169,0.45368,0.24003,0.79334,0.00122683,0.00122683,0.00122683
